SUB_REGISTER,MODE,REGISTER,FILE_ID,KWIC,LEMMA_BrE,VARIABLE,KWIC2,VARIANT,PERIOD,FEAT
ED,Printed,Persuasive,ed_25.txt,"of the prosecution , denies a suspect the right to bail , it is an ",abridgement,abridgement,of that right and an abuse of the judges discretion in giving the bail ,BRE,ICEw (2000s),DG(E)MENT
ATEC,Printed,Academic,H1ATec_10.txt,was ready for use after decanting the molasses solution of about 4 Brix . The ,acclimatise,acclimatization,of Saccharomyces cerevisiae to high alcohol tolerance was carried out as follows . The ,AME,HiCE1 (1960-1979),ISE/IZE
ADM,Printed,Instructional,adm_09.txt,complete your registration . - 50 Euro for Individual - 100 euro for Corporate membership ,acknowledgement,acknowledgement,and bank details will be sent to you . We thank you for your ,BRE,ICEw (2000s),DG(E)MENT
ANSC,Printed,Academic,H1ANsc_05.txt,modal fractions of biotite which is structurally more accommodative of the large Rb atom . ,acknowledgement,acknowledgements,Rock and feldspar samples used in this study were analyzed at the MineralogiskGeologisk Museum ,BRE,HiCE1 (1960-1979),DG(E)MENT
ANSC,Printed,Academic,H1ANsc_06.txt,greater number of healthy people will be seen around the villages in Zaria area . ,acknowledgement,acknowledgement,We wish to acknowledge the assistance rendered by Mrs Emmy Simmons of the Institute ,BRE,HiCE1 (1960-1979),DG(E)MENT
ANSC,Printed,Academic,H1ANsc_07.txt,derived forms of Trypanosoma congolense when exposed to the antisera prepared against Trypanosoma gambiense . ,acknowledgement,acknowledgements,This work was done while on a research trip sponsored by the University of ,BRE,HiCE1 (1960-1979),DG(E)MENT
ANSC,Printed,Academic,H1ANsc_12.txt,is not necessary to postulate specific neuromuscular blocking action or primary damage to nerve . ,acknowledgement,acknowledgement,"I wish to thank Professor T. A. I. Grillo and his successor , Dr. ",BRE,HiCE1 (1960-1979),DG(E)MENT
ATEC,Printed,Academic,H1ATec_10.txt,"ferment Bacita molasses , and future work will concentrate on Saccharomyces cerevisiae with papain . ",acknowledgement,acknowledgement,The author are grateful to Guiness Nigeria Limited for providing the yeast strain Saccharomyces ,BRE,HiCE1 (1960-1979),DG(E)MENT
ATEC,Printed,Academic,H1ATec_13.txt,of the present technique to the solutions of practical structural static and dynamic problems . ,acknowledgement,acknowledgement,The help of Mr. A Awa in the development of the program is acknowledged ,BRE,HiCE1 (1960-1979),DG(E)MENT
ATEC,Printed,Academic,H1ATec_16.txt,"is now in progress , and the results will be published in due course . ",acknowledgement,acknowledgement,"The author is grateful to Mr. Nwaorisara Anasonye of Uzuakoli , for allowing the ",BRE,HiCE1 (1960-1979),DG(E)MENT
ANSC,Printed,Academic,H2ANsc_15.txt,37.6g/L and 48.5g/L at the first and second stages respectively of a continuous process . ,acknowledgement,acknowledgement,": The authors wishes to thank the Management of Nigerian Sugar , Bacita who ",BRE,HiCE2 (1980-1999),DG(E)MENT
ASSC,Printed,Academic,H2ASsc_04.txt,be able to use the result to monitor their blood pressure and seek medical or ,acknowledgement,acknowledgement,: I wish to acknowledge the contribution of CODESRIA through its research grant for ,BRE,HiCE2 (1980-1999),DG(E)MENT
NOV,Printed,Creative,H2Nov_03.txt,and calling praise-names to the lorry driver who would from time to time accelerate in ,acknowledgement,acknowledgement,". Li felt alone , although she was among friends and age-mates , none ",BRE,HiCE2 (1980-1999),DG(E)MENT
NOV,Printed,Creative,nov_17.txt,They were still talking when Defo entered . The two men looked at him in ,acknowledgement,acknowledgement,"of his presence , but Chuby 's face was abeam with smiles . "" ",BRE,ICEw (2000s),DG(E)MENT
PHUM,Printed,Popular,PHum_14.txt,"this years celebration started with Ijoko Awon Agba ( gathering of elders ) , an ",acknowledgement,acknowledgment,of the unique position of elders in the affairs of the community . Other ,AME,ICEw (2000s),DG(E)MENT
PHUM,Printed,Popular,PHum_19.txt,are either German or Scandinavian in origin . I cited examples of such words as ,acknowledgement,acknowledgement,", psychology , knight , pseudo , gnash , rhythm , solemn etc . ",BRE,ICEw (2000s),DG(E)MENT
PR,Printed,Reportage,Pr_41.txt,"pensioners , there can not be a more befitting honour to their memory than the ",acknowledgement,acknowledgement,"of their supreme services and contribution to the services of the state . "" ",BRE,ICEw (2000s),DG(E)MENT
PSSC,Printed,Popular,PSsc_12.txt,is hurtful that fellow Nigerians consider them as second-class citizens who deserve no recognition or ,acknowledgement,acknowledgment,". "" You see it in the way they look at us . For ",AME,ICEw (2000s),DG(E)MENT
ESS,Non-printed,Student,ess_10.txt,"in his Needs Hierarchy Theory such as physiological , safety , social , esteem and ",actualise,self-actualization,". However , where these needs are not considered by the policy makers , ",AME,ICEw (2000s),ISE/IZE
ESS,Non-printed,Student,ess_10.txt,in their best in terms of effective administration of the schools when their perception of ,actualise,self-actualization,"in their chosen career is envisaged . However , they become dissatisfied and of ",AME,ICEw (2000s),ISE/IZE
ESS,Non-printed,Student,ess_10.txt,"Coulter ( 2004 ) , writing on Abraham Maslows Needs Theory ( 1954 ) considered ",actualise,self-actualization,needs as a persons drive to become what he or she is capable of ,AME,ICEw (2000s),ISE/IZE
ADM,Printed,Instructional,H2Adm_10.txt,and partners in general will be motivated and invited to play strategic roles in the ,actualise,actualization,of a venture capital venture . 9 . An information centre will be established ,AME,HiCE2 (1980-1999),ISE/IZE
ADM,Printed,Instructional,H2Adm_10.txt,. 10 . In addition to practitioner and founders special efforts will be made to ,actualise,actualize,"the establishment of the Nigerian Council of Micro-credit Advocates , championed by the First ",AME,HiCE2 (1980-1999),ISE/IZE
PHUM,Printed,Popular,H2Phum_01.txt,"books , journals , articles , conference papers , pamphlets and symposia contributions , he ",actualise,actualized,"his dreams for the promotion of studies in Igbo Language , Igbo culture , ",AME,HiCE2 (1980-1999),ISE/IZE
PHUM,Printed,Popular,H2Phum_32.txt,daring exploits of Titubi and her rebirth . It portrays hers as a genuine concern ,actualise,actualized,in practical terms and geared towards the betterment of the society not the spurious ,AME,HiCE2 (1980-1999),ISE/IZE
